,_id,jk,efccid,srcid,cmpid,num,srcname,cmp,cmpesc,cmplnk,loc,country,zip,city,title,locid,rd,date,msa
0,5e13d121c119dd8840538b80,6a52928676ccaf9b, 889a82a4c23c27f7,3a60030d67cab4fd,a638cf9afe92b17a,0,Indeed,Summit,Summit,/q-Summit-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20001",US,,Washington,Front Office Coordinator,c08ec92d8c031faa,KOZu4pedPCtcTJ9itYtMIKZM22n6iTqaU6nPqTLU8J8U2bDV_iFwVf2HcovsMv6rBtcIdeAkRUyscoFLaZb2sw,01-06-20,47900
1,5e13d121c119dd8840538b81,da16ba2170954944, 4eacbe2e5a3b4f9e,ac27075603e388a5,e9870e3159e9c6ac,1,Central Intelligence Agency,Central Intelligence Agency,Central Intelligence Agency,/q-Central-Intelligence-Agency-l-District-of-Columbia-DC-jobs.html,"Washington, DC",US,,Washington,Customer Service Representative,c08ec92d8c031faa,KOZu4pedPCtcTJ9itYtMIKZM22n6iTqaU6nPqTLU8J-uYOOizYfDKl7svH0l5qM8HQteVOeom73EGiJmc__WlA,01-06-20,47900
2,5e13d121c119dd8840538b82,86e8c2671b6c16d5, 1358f9b29313bf11,8fd170b78ba7bb70,ac3b96a7964244a9,2,Washington Metropolitan Area Transit Authority,Washington Metropolitan Area Transit Authority,Washington Metropolitan Area Transit Authority,/q-Washington-Metropolitan-Area-Transit-Authority-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20001",US,,Washington,Police Communications Specialist,c08ec92d8c031faa,KOZu4pedPCtcTJ9itYtMIKZM22n6iTqaU6nPqTLU8J9xij5Vjf9VSEZLU34iruW-HWdp3uYd4ki-81LUNPiCNA,01-06-20,47900
3,5e13d121c119dd8840538b83,54dccd351cd954b0, 95ca182c65f5e34c,38296fe7c9118ebf,ce533b6f8cd5c664,3,Indeed,Swiss Post Solutions,Swiss Post Solutions,/q-Swiss-Post-Solutions-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20005",US,20005,Washington,Office Services \/ Mail Associate,c08ec92d8c031faa,2WKP5Dncumetl6uQHWBI38yMXflQEQeb9fWOYlR26QqtXhkXVg1Ev_oJe9n5LJpPyvcIXonKqAFVZgJ9R6JZ_Q,01-06-20,47900
4,5e13d121c119dd8840538b84,367f8abebf6f2ba0, dddeee5adfe17521,ffdef4585aead1a7,419801c05606d650,4,Aldi,ALDI,ALDI,/q-ALDI-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20002",US,,Washington,Full-Time Store Associate,c08ec92d8c031faa,KMmgpPP_N8Ma8_Z5coeA6mJOIvI0k_Fvpw3dc35DCxZjNOr_FMbhlOvOUSGwj1we884FJF1xfCmpFKb7bRZsIA,01-06-20,47900
5,5e13d121c119dd8840538b85,1f1058d7a668bebb, 6f086323f18eee8d,c8916c7fb841b586,b57391a1dd0831e1,5,Indeed,DC Solutions,DC Solutions,/q-DC-Solutions-l-District-of-Columbia-DC-jobs.html,"Washington, DC",US,,Washington,Luxury Restaurant Cleaners Needed,c08ec92d8c031faa,ksNjx-mCCxTfpBxRk4GxMQOg18A1OlUHPaD8qbK_92-mz2w8K8sjrsLph3f3aWZ_eIj9943Gfl-nVSjAuDnoTw,01-06-20,47900
6,5e13d121c119dd8840538b86,47546e0f94da3446, 3e64b6493a194c8b,1be66cb69ac16dde,2c62e4de04b8f952,6,Nike,Nike,Nike,/q-Nike-l-District-of-Columbia-DC-jobs.html,"Washington, DC",US,,Washington,Nike Ivy City Full-Time Athlete,c08ec92d8c031faa,yiFpXy0V5VnR7pRG_LDt71yuNgfpXQIf_2D4pHMFNLZZH9CDpAgZdf4TWE0LGyt1iYlYS40-tGjJo3ds3skJ5g,01-06-20,47900
7,5e13d121c119dd8840538b87,428360b3646dec1e, 6894a868b49aa740,354d02d3528c2924,ea10be8bb95dc939,7,Whole Foods Market,Whole Foods Market,Whole Foods Market,/q-Whole-Foods-Market-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20002",US,20002,Washington,Part Time Cashier,c08ec92d8c031faa,UoSLGNYeoaCEbrc4zUQx7z8-akIzK3dG_dyIEUnfF7IGpb2SyfNMTpBXlWIjRF4TBTRD-QjEACt4kt10bjNgeg,01-06-20,47900
8,5e13d121c119dd8840538b88,9372b8e589a5dd33, f21e12e175138594,0f63ab79b1db3c00,462787d41ead3edd,8,Indeed,Georgetown University Hotel and Conference Center,Georgetown University Hotel and Conference Center,/q-Georgetown-University-Hotel-and-Conference-Center-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20007",US,,Washington,Human Resources Assistant,c08ec92d8c031faa,m1uUTzEIhGNn7h7WHEX1s0dnTNKf5DqGahRAGmQr5fTheCeD2sibH18e31fW1cK5C_VLQYADAP5dQ5DQ4wW1Hw,01-06-20,47900
9,5e13d121c119dd8840538b89,4eadf347f71212eb, 6894a868b49aa740,354d02d3528c2924,ea10be8bb95dc939,9,Whole Foods Market,Whole Foods Market,Whole Foods Market,/q-Whole-Foods-Market-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20002",US,20002,Washington,Grocery Over night Team Member\/PT,c08ec92d8c031faa,A1kmjcdO9UbIpSbViw6K6itTVvtZTw2etsgxrsikd3jU1s5GxEVJ8QXxQXNmAXOFBTRD-QjEACt4kt10bjNgeg,01-06-20,47900
10,5e13d121c119dd8840538b8a,2f2aaa9a62a087d4, 46d2b9ec84da51ff,525146b036a7626e,70d7243456efbefe,10,Indeed,Navy Yard Dental,Navy Yard Dental,/q-Navy-Yard-Dental-l-District-of-Columbia-DC-jobs.html,"Washington, DC",US,,Washington,Dental Front Desk,c08ec92d8c031faa,AIC5B1NZEYecQ3bNq-c_eLk-G5YCcNNoU08WQp1LxyLmvWhYRLzISy9-5pI9S0YyC_VLQYADAP5dQ5DQ4wW1Hw,01-06-20,47900
11,5e13d121c119dd8840538b8b,0d8ed3125bf17f0e, d9efd08c570717d8,06145f28f5250bc3,e8debcf5401ec888,11,Union Square Hospitality Group,Union Square Hospitality Group,Union Square Hospitality Group,/q-Union-Square-Hospitality-Group-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20003",US,20003,Washington,Server- Anchovy Social \u2013 Danny Meyer\u2019s Rooftop Bar,c08ec92d8c031faa,4END045ptKKmHngt72SuiJ9fe4kJ4u_RfRPzEZufC8BbiO7DyLv4ruRhRuun2gactUEaQ-6904ycNXhpCVAxxw,01-06-20,47900
12,5e13d121c119dd8840538b8c,32c32e6d940f832c, da0e17b32fc67166,83edec1d025dc02a,c10303275e63194f,12,Five Below,Five Below,Five Below,/q-Five-Below-l-District-of-Columbia-DC-jobs.html,"Washington, DC 20018",US,20018,Washington,Sales Associate,c08ec92d8c031faa,HgqJEbKk5cQW1h3qe3-fix0vd9hFY4UhJxrbRqMCvMYeaXRBWWcxwXmLu7wR6ndXP8PIadmdBY6UflnSmOrX4g,01-06-20,47900
13,5e13d121c119dd8840538b8d,f53db2ce62e24e49, 3697c597343600be,a3ecf556f209218d,c7496b5aa798ddaa,13,Indeed,RGIS,RGIS,/q-RGIS-l-District-of-Columbia-DC-jobs.html,"Washington, DC",US,,Washington,Part Time Retail Inventory Associate,c08ec92d8c031faa,KOZu4pedPCtcTJ9itYtMIKZM22n6iTqaU6nPqTLU8J8g2QhhLZTmeC3lNLhPeXq0HQteVOeom73EGiJmc__WlA,01-06-20,47900
14,5e13d121c119dd8840538b8e,d495988e971badff, f5ee4ed04dc84251,f9d1ee47964bf2cf,b08f2f2cf14cd328,14,Indeed,Metro One LPSG,Metro One LPSG,/q-Metro-One-LPSG-l-District-of-Columbia-DC-jobs.html,"Washington, DC",US,,Washington,"Loss Prevention Officer $24.50\/hr + Paid Benefits, Military Experience Req.",c08ec92d8c031faa,KOZu4pedPCtcTJ9itYtMIKZM22n6iTqaU6nPqTLU8J93YiJxg6juzltCghdyNTRx2w7AAB58GdLi5PgE3C1eIg,01-06-20,47900
